population.ID,species,Life.Stage,Sex.Ratio,N,sex.determination,SDM.Type,SuperTaxa,model4,Conservative,Citation,Source,sex.det.source
68,Caiman_latirostris,birth.sex.ratio,0.286,1284,TSD,TSD II,crocoturtle,crocs,Y,290,Bokony,species.in.TreeOfSex
16,Agama_impalearis,juvenile.sex.ratio,0.547,148,TSD,TSD II,squamata,lizards,Y,1019,Bokony,species.in.TreeOfSex
58,Anolis_schwartzi,adult.sex.ratio,0.398,211,GSD,GSD,squamata,GSD,Y,34,Bokony,genus.or.family.in.TreeOfSex
509,Trimeresurus_stejnegeri,juvenile.sex.ratio,0.529,68,GSD,GSD,squamata,GSD,Y,g71,Bokony,genus.or.family.in.TreeOfSex
336,Macrochelys_temminckii,adult.sex.ratio,0.556,45,TSD,TSD II,crocoturtle,turtles,Y,497,Bokony,species.in.TreeOfSex
65,Boa_constrictor,adult.sex.ratio,0.528,106,GSD,GSD,squamata,GSD,Y,207,Bokony,genus.or.family.in.TreeOfSex
36,Anolis_cybotes,adult.sex.ratio,0.4,45,GSD,GSD,squamata,GSD,N,14,Bokony,genus.or.family.in.TreeOfSex
259,Gehyra_variegata,adult.sex.ratio,0.497,328,GSD,GSD,squamata,GSD,N,na2,Bokony,genus.or.family.in.TreeOfSex
260,Gehyra_variegata,adult.sex.ratio,0.479,165,GSD,GSD,squamata,GSD,N,v21,Bokony,genus.or.family.in.TreeOfSex
237,Emys_orbicularis,adult.sex.ratio,0.356,163,TSD,TSD Ia,crocoturtle,turtles,N,637,Bokony,species.in.TreeOfSex
241,Emys_orbicularis,adult.sex.ratio,0.459,96,TSD,TSD Ia,crocoturtle,turtles,N,625,Bokony,species.in.TreeOfSex
242,Emys_orbicularis,adult.sex.ratio,0.319,160,TSD,TSD Ia,crocoturtle,turtles,N,623,Bokony,species.in.TreeOfSex
244,Emys_orbicularis,adult.sex.ratio,0.405,195,TSD,TSD Ia,crocoturtle,turtles,N,63,Bokony,species.in.TreeOfSex
245,Emys_orbicularis,adult.sex.ratio,0.505,370,TSD,TSD Ia,crocoturtle,turtles,N,633,Bokony,species.in.TreeOfSex
249,Emys_orbicularis,adult.sex.ratio,0.675,126,TSD,TSD Ia,crocoturtle,turtles,N,650,Bokony,species.in.TreeOfSex
33,Anolis_carolinensis,adult.sex.ratio,0.474,274,GSD,GSD,squamata,GSD,N,9,Bokony,species.in.TreeOfSex
37,Anolis_distichus,adult.sex.ratio,0.571,12,GSD,GSD,squamata,GSD,N,"v2, v2new",Bokony,species.in.TreeOfSex
38,Anolis_distichus,adult.sex.ratio,0.545,49,GSD,GSD,squamata,GSD,N,"v2, v2new",Bokony,species.in.TreeOfSex
39,Anolis_equestris,adult.sex.ratio,0.565,62,GSD,GSD,squamata,GSD,N,18,Bokony,genus.or.family.in.TreeOfSex
52,Anolis_nebulosus,adult.sex.ratio,0.495,297,GSD,GSD,squamata,GSD,N,27,Bokony,species.in.TreeOfSex
205,Cyclura_nubila,adult.sex.ratio,0.545,42,GSD,GSD,squamata,GSD,N,56,Bokony,genus.or.family.in.TreeOfSex
317,Lacerta_vivipara,adult.sex.ratio,0.418,2302,GSD,GSD,squamata,GSD,N,"81, 223",Bokony,species.in.TreeOfSex
377,Phrynosoma_cornutum,adult.sex.ratio,0.474,97,GSD,GSD,squamata,GSD,N,1053ab,Bokony,genus.or.family.in.TreeOfSex
384,Podarcis_muralis,adult.sex.ratio,0.437,135,GSD,GSD,squamata,GSD,N,g48,Bokony,genus.or.family.in.TreeOfSex
386,Podarcis_muralis,adult.sex.ratio,0.578,97,GSD,GSD,squamata,GSD,N,117,Bokony,genus.or.family.in.TreeOfSex
393,Psammodromus_algirus,adult.sex.ratio,0.618,57,GSD,GSD,squamata,GSD,N,v28,Bokony,species.in.TreeOfSex
394,Psammodromus_algirus,adult.sex.ratio,0.589,90,GSD,GSD,squamata,GSD,N,122,Bokony,species.in.TreeOfSex
411,Sceloporus_jarrovi,adult.sex.ratio,0.435,214,GSD,GSD,squamata,GSD,N,126,Bokony,species.in.TreeOfSex
413,Sceloporus_jarrovi,adult.sex.ratio,0.4,70,GSD,GSD,squamata,GSD,N,g1,Bokony,species.in.TreeOfSex
414,Sceloporus_poinsetti,adult.sex.ratio,0.488,38,GSD,GSD,squamata,GSD,N,g2,Bokony,species.in.TreeOfSex
419,Sceloporus_undulatus,adult.sex.ratio,0.389,90,GSD,GSD,squamata,GSD,N,v29,Bokony,species.in.TreeOfSex
420,Sceloporus_undulatus,adult.sex.ratio,0.563,80,GSD,GSD,squamata,GSD,N,v29,Bokony,species.in.TreeOfSex
421,Sceloporus_undulatus,adult.sex.ratio,0.4,30,GSD,GSD,squamata,GSD,N,v29,Bokony,species.in.TreeOfSex
422,Sceloporus_undulatus,adult.sex.ratio,0.438,96,GSD,GSD,squamata,GSD,N,129,Bokony,species.in.TreeOfSex
423,Sceloporus_undulatus,adult.sex.ratio,0.472,305,GSD,GSD,squamata,GSD,N,v30,Bokony,species.in.TreeOfSex
425,Sceloporus_virgatus,adult.sex.ratio,0.62,279,GSD,GSD,squamata,GSD,N,g77,Bokony,genus.or.family.in.TreeOfSex
513,Tropidurus_itambere,adult.sex.ratio,0.46,255,GSD,GSD,squamata,GSD,N,144,Bokony,genus.or.family.in.TreeOfSex
518,Uta_stansburiana,adult.sex.ratio,0.463,326,GSD,GSD,squamata,GSD,N,g49,Bokony,species.in.TreeOfSex
521,Varanus_albigularis,adult.sex.ratio,0.561,205,GSD,GSD,squamata,GSD,N,na5,Bokony,species.in.TreeOfSex
219,Emydocephalus_annulatus,adult.sex.ratio,0.61,313,GSD,GSD,squamata,GSD,N,218,Bokony,species.in.TreeOfSex
220,Emydocephalus_annulatus,adult.sex.ratio,0.669,163,GSD,GSD,squamata,GSD,N,mod5,Bokony,species.in.TreeOfSex
332,Liasis_fuscus,adult.sex.ratio,0.614,1618,GSD,GSD,squamata,GSD,N,134,Bokony,genus.or.family.in.TreeOfSex
367,Opheodrys_aestivus,adult.sex.ratio,0.51,323,GSD,GSD,squamata,GSD,N,"new87, new88",Bokony,genus.or.family.in.TreeOfSex
433,Stegonotus_cucullatus,adult.sex.ratio,0.779,208,GSD,GSD,squamata,GSD,N,134,Bokony,genus.or.family.in.TreeOfSex
446,Storeria_dekayi,adult.sex.ratio,0.451,512,GSD,GSD,squamata,GSD,N,g61,Bokony,species.in.TreeOfSex
482,Thamnophis_radix,adult.sex.ratio,0.486,140,GSD,GSD,squamata,GSD,N,g99,Bokony,genus.or.family.in.TreeOfSex
527,Vipera_berus,adult.sex.ratio,0.58,352,GSD,GSD,squamata,GSD,N,202,Bokony,species.in.TreeOfSex
62,Apalone_spinifera,adult.sex.ratio,0.598,107,GSD,GSD,crocoturtle,GSD,N,556,Bokony,Badenhorst_et_al._2013._Chromosome_Research
432,Staurotypus_triporcatus,adult.sex.ratio,0.44,386,GSD,GSD,crocoturtle,GSD,N,503,Bokony,species.in.TreeOfSex
425,Sceloporus_virgatus,birth.sex.ratio,0.483,176,GSD,GSD,squamata,GSD,N,g77,Bokony,genus.or.family.in.TreeOfSex
518,Uta_stansburiana,birth.sex.ratio,0.494,87,GSD,GSD,squamata,GSD,N,g49,Bokony,species.in.TreeOfSex
198,Crotalus_viridis,birth.sex.ratio,0.47,115,GSD,GSD,squamata,GSD,N,g51,Bokony,genus.or.family.in.TreeOfSex
367,Opheodrys_aestivus,birth.sex.ratio,0.475,141,GSD,GSD,squamata,GSD,N,"new87, new88",Bokony,genus.or.family.in.TreeOfSex
482,Thamnophis_radix,birth.sex.ratio,0.419,43,GSD,GSD,squamata,GSD,N,g99,Bokony,genus.or.family.in.TreeOfSex
525,Vipera_berus,birth.sex.ratio,0.506,79,GSD,GSD,squamata,GSD,N,v33,Bokony,species.in.TreeOfSex
319,Lacerta_vivipara,juvenile.sex.ratio,0.39,656,GSD,GSD,squamata,GSD,N,v23,Bokony,species.in.TreeOfSex
326,Lacerta_vivipara,juvenile.sex.ratio,0.456,1767,GSD,GSD,squamata,GSD,N,v23,Bokony,species.in.TreeOfSex
377,Phrynosoma_cornutum,juvenile.sex.ratio,0.469,32,GSD,GSD,squamata,GSD,N,1053ab,Bokony,genus.or.family.in.TreeOfSex
384,Podarcis_muralis,juvenile.sex.ratio,0.498,267,GSD,GSD,squamata,GSD,N,g48,Bokony,genus.or.family.in.TreeOfSex
414,Sceloporus_poinsetti,juvenile.sex.ratio,0.4,33,GSD,GSD,squamata,GSD,N,g2,Bokony,species.in.TreeOfSex
417,Sceloporus_undulatus,juvenile.sex.ratio,0.493,136,GSD,GSD,squamata,GSD,N,v29,Bokony,species.in.TreeOfSex
419,Sceloporus_undulatus,juvenile.sex.ratio,0.42,138,GSD,GSD,squamata,GSD,N,v29,Bokony,species.in.TreeOfSex
420,Sceloporus_undulatus,juvenile.sex.ratio,0.434,113,GSD,GSD,squamata,GSD,N,v29,Bokony,species.in.TreeOfSex
421,Sceloporus_undulatus,juvenile.sex.ratio,0.434,143,GSD,GSD,squamata,GSD,N,v29,Bokony,species.in.TreeOfSex
513,Tropidurus_itambere,juvenile.sex.ratio,0.49,290,GSD,GSD,squamata,GSD,N,144,Bokony,genus.or.family.in.TreeOfSex
361,Nerodia_sipedon,juvenile.sex.ratio,0.522,23,GSD,GSD,squamata,GSD,N,g39,Bokony,genus.or.family.in.TreeOfSex
