species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Natator_depressus,95,88.4,"Limpus 2007, unpubl. data; Whittock et al. 2014",
Dermochelys_coriacea,181.75,197.25,Eckert and Luginbuhl 1988; Márquez 1990,
Chelydra_acutirostris,35.15,41,Medem 1977; Ceballos et al. 2013; Young-Valencia et al. 2014,
Chelydra_rossignonii,33,47,Legler and Vogt 2013,
Chelydra_serpentina,38.01,47.62666667,Gerholdt and Oldfield 1987; Pritchard 1989; Iverson et al. 1997; Johnston et al. 2012,
Macrochelys_suwanniensis,49.2,80,Pritchard 1980; Johnston et al. 2015,
Macrochelys_temminckii,51.6,66.51,Pritchard 1989; Boundy and Kennedy 2006,
Dermatemys_mawii,54.15,45.6,Vogt et al. 2011 CBFTT; Legler and Vogt 2013,
Kinosternon_abaxillare,15.7,15.8,"Iverson 2008, 2010; Legler and Vogt 2013; Reyes-Grajales et al. 2021",
Kinosternon_acutum,11.85333333,10.52333333,Iverson and Vogt 2011 CBFTT; Ceballos et al. 2013,
Kinosternon_angustipons,12,11.5,Legler 1965; Acuña-Mesén 1993; Ceballos et al. 2013,
Kinosternon_baurii,10.9125,10.1575,Pritchard 1980; Mitchell 1994; Ewert and Jackson 2005; Wilson et al. 2006; Ceballos et al. 2013,
Kinosternon_chimalhuaca,12.26,14.93,Berry et al. 1997; Legler and Vogt 2013,
Kinosternon_creaseri,11.91333333,12.49666667,Iverson 1991; Ceballos et al. 2013; Legler and Vogt 2013,
Kinosternon_dunni,15.53333333,17.66666667,Iverson et al. 2012 CBFTT,
Kinosternon_durangoense,13.69,17.25666667,Iverson 1989; Ceballos et al. 2013; Iverson et al. 2018,
Kinosternon_flavescens,12.34275,13.4925,Iverson 1989; Ceballos et al. 2013; Brown et al. 2020,
Kinosternon_herrerai,15.1,16.94666667,Carr and Mast 1988; Legler and Vogt 2013,
Kinosternon_hirtipes,14.705,16.97,Turtle Taxonomy Working Group 2021,
Kinosternon_integrum,17.3475,19.805,Macip-Ríos et al. 2009; Ceballos et al. 2013; Legler and Vogt 2103,
Kinosternon_leucostomum,18.88333333,20.25,Turtle Taxonomy Working Group 2021,
Kinosternon_oaxacae,14.45,16.65,Iverson 1986; Ceballos et al. 2013,
Kinosternon_scorpioides,16.005,16.62,Turtle Taxonomy Working Group 2021,
Kinosternon_sonoriense,16.0025,15.4975,Turtle Taxonomy Working Group 2021,
Kinosternon_steindachneri,10.6,11.4,Meshaka et al. 2017 CBFTT,
Kinosternon_subrubrum,10.77,10.53,Turtle Taxonomy Working Group 2021,
Kinosternon_vogti,8.9,10.2,López-Luna et al. 2018,
Sternotherus_carinatus,12.79666667,15.08,Iverson 2002; Lindeman 2008 CBFTT,
Sternotherus_depressus,10.66,9.216666667,Dodd 2008 CBFTT,
Sternotherus_intermedius,10.8,11.6,"Scott and Iverson, unpubl. data",
Sternotherus_minor,14.8975,11.53375,Camp 1986; Enge and Foster 1986; Zappalorti and Iverson 2006,
Sternotherus_odoratus,11.15333333,10.88666667,Ewert 2005; Ernst and Lovich 2009,
Sternotherus_peltifer,12.4,12.6,"Scott, unpubl. data",
Claudius_angustatus,13.7275,14.855,Iverson and Berry 1980; Ceballos et al. 2013; Legler and Vogt 2013,
Staurotypus_salvinii,17.9,16.45,"Legler and Vogt 2013; Smith and Smith (1980) and Dean and Bickham (1983) cite ca. 25 cm as maximum, but without documentation ",
Staurotypus_triporcatus,34.41,31.89666667,Legler and Vogt 2013,
Chrysemys_dorsalis,15.6,11.5,Carr 1952; Ernst and Lovich 2009,
Chrysemys_picta,21.74333333,19.36666667,Turtle Taxonomy Working Group 2021,
Graptemys_gibbonsi,29.5,14.1,Lovich et al. 2009 CBFTT,
Graptemys_pearlensis,29.5,12.1,Ennen et al. 2018 CBFTT,
Graptemys_pseudogeographica,27.41666667,14.93333333,Turtle Taxonomy Working Group 2021,
Pseudemys_floridana,39.7,31.6,Ernst and Lovich 2009; Powell et al. 2016,
Pseudemys_gorzugi,38.6,26.65,Legler and Vogt 2013; Pierce et al. 2016 CBFTT,
Pseudemys_peninsularis,34.45,27.95,Thomas and Jansen 2006,
Pseudemys_rubriventris,36.85,31.2,Graham 1991; Ernst and Lovich 2009,
Pseudemys_texana,33,25.3,Killebrew and Porter 1989b; Ceballos et al. 2013,
Trachemys_adiutrix,25.1,18.6,Ernst et al. 2010,
Trachemys_callirostris,32,28.4,Turtle Taxonomy Working Group 2021,
Trachemys_decorata,34.1,21.9,Seidel and Inchaustegui Miranda 1984; Seidel 1988; Ceballos et al. 2013,
Trachemys_decussata,34.43333333,24.9,Turtle Taxonomy Working Group 2021,
Trachemys_gaigeae,26.26666667,20.56666667,Stuart and Ward 2009 CBFTT,
Trachemys_grayi,54.8,29.6,Turtle Taxonomy Working Group 2021,
Trachemys_hartwegi,30.8,14.9,Legler 1990; Stuart and Ward 2009 CBFTT,
Trachemys_medemi,28.1,19.8,Ceballos and Brand 2014; Vargas-Ramirez et al. 2017,
Trachemys_nebulosa,36.05,32.5,Turtle Taxonomy Working Group 2021,
