Table 1
Citation,source,,,,,
2005,"Verdon & Donnelly 2005. Journal of Herpetology 39, 572–577",,,,,
2006,"Wilson & Ernst 2005. Southeastern Naturalist, 4(4):689-702",,,,,
2008,Adamovicz et al. 2015. Journal of Zoo and Wildlife Medicine 46(1): 39–51,,,,,
2010,"Weiss 2009. Demographics, activity, and habitat selection of the Eastern box turtle (Terrapene c. carolina) in West Virginia. MSc thesis, Marshall University",,,,,
2014,"Jones et al. 2016. Journal of Herpetology 50, 94-101",,,,,
2018,"Blair 1976. The Southwestern Naturalist 21, 89-103",,,,,
2019,Hall & Steidl 2003. Ecology and Conservation of desert box turtles (Terrapene ornata luteola) in Arizona. Report to the Arizona Game and Fish Department,,,,,
2020,"Nieuwolt 1996. Herpetologica 52, 487-495",,,,,
2022,"Quinn et al. 2014. Chelonian Conservation and Biology 13(1),  65-71",,,,,
2023,Legler 1960. University of Kansas Publication of the Museum of Natural History 11:527–669.,,,,,
2025,"Grant 2010. Spatial ecology and demography of the ornate box turtle in a seasonally burned sand prairie matrix. MSc thesis, West Texas A&M University.",,,,,
2028,"Wygoda 1979. Journal of Herpetology 13, 469-480",,,,,
2032,Swingland & Lessells 1979. Journal of Animal Ecology 639-654,,,,,
2033,"Swingland & Coe 1979. Phil. Trans. R. Soc. Lond. B. 286, 177-188",,,,,
2039,MacFarland et al. 1974. Biological Conservation 6:118-133.,,,,,
2042,Mahmoud 1969. Southwestern Naturalist 14:31-66.,,,,,
2047,Edmonds & Brooks 1996. Can. J. Zool. 74: 918 -925,,,,,
2048,"Smith & Iverson 2002. The American Midland Naturalist, 148(1):185-189.",,,,,
2050,"Ernst 1986. Journal of Herpetology 20, 341-352",,,,,
2052,"Meylan et al. 1992. Florida Scientist 55, 219-228",,,,,
2061,"Iverson 1991. Herpetologica 47, 373-395",,,,,
2068,"Barreto et al. 2009. Herpetological Review 40(3), 283–286.",,,,,
2071,Moura et al. 2015. North-Western Journal of Zoology 11: 204-212,,,,,
2074,"Hulse 1982. The Southwestern Naturalist 27, 447-456",,,,,
2075,"Stone 2001. Southwestern Naturalist 46, 41-53",,,,,
2076,Van Loben Sels et al. 1997. Chelonian Conservation and Biology 2:338-344.,,,,,
2077,Riedle et al. 2012. Chelonian Conservation and Biology 11(2): 182–189,,,,,
2078,"Stanila 2009. Morphology and demography of Sonoran mud turtles (Kinosternon sonoriense) along an aquatic habitat permanence gradient. MSc thesis, University of Central Oklahoma",,,,,
2079,Stone et al. 2015. Herpetological Conservation and Biology 10(2):728–739,,,,,
2084,"Correa-Hernández et al. 2010. Chelonian Conservation and Biology, 9(1):70-78.",,,,,
2085,"Páez et al. 2015. Copeia 103(4), 1058–1074",,,,,
2087,"Fachín-Terán et al. 2003. Phyllomedusa, 2(1), 43-63.",,,,,
2089,"Carneiro 2012. Influência do ambiente de nidificação sobre a taxa de eclosão, a duração da incubação e a determinação sexual em Podocnemis (Reptilia, Podocnemididae) no tabuleiro do embaubal Rio Xingu, Pará. Thesis",,,,,
2090,"de Souza Alcantara et al. 2013. Chelonian Conservation and Biology, 12(1):134-142.",,,,,
2092,"Alho et al. 1985. Biotropica 17, 75-78",,,,,
2093,"Valenzuela 2001. Ecology 82(11), 3010-3024.",,,,,
2094,"Valenzuela et al. 1997. Herpetologica 53(3), 390-398",,,,,
2096,"Penaloza et al. 2013. Copeia 2013(1), 111–120",,,,,
2098,"Berry et al. 2013. Herpetological Monographs, 27(1):87-109.",,,,,
2101,"McLuckie 1995. Genetics, morphology, and ecology of the desert tortoise (Gopherus agassizii) in the Black Mountains, Mohave County, Arizona. MSc thesis, University of Arizona",,,,,
