population.ID,taxon,species,sex.determination,sex.det.source,birth.sex.ratio,juvenile.sex.ratio,adult.sex.ratio,matur.male,matur.female,mortality.male,mortality.female,N.babies,N.juveniles,N.adults,reference.ID
277,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.531,,,,,,,98,554
282,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.769,,,,,,,26,556
274,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,0.241,0.494,,,,,,29,83,557
284,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.548,,,0.182,0.094,,,704,"542, 543"
276,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.484,,,,,,,363,"550, 551, 552"
287,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,,4.0,9.5,,,,,,m28
288,turtles,Graptemys_ouachitensis,TSD,species.in.TreeOfSex,,,0.570,,,,,,,79,559
289,turtles,Graptemys_ouachitensis,TSD,species.in.TreeOfSex,0.280,,0.204,,,,,1540,,333,"214, 215"
290,turtles,Graptemys_ouachitensis,TSD,species.in.TreeOfSex,,,,3.0,12.0,,,,,,m24
293,turtles,Graptemys_pseudogeographica,TSD,species.in.TreeOfSex,,,0.811,,,,,,,37,547
292,turtles,Graptemys_pseudogeographica,TSD,species.in.TreeOfSex,,,0.507,,,,,,,148,556
291,turtles,Graptemys_pseudogeographica,TSD,species.in.TreeOfSex,0.250,,0.384,,,,,489,,177,"214, 215"
294,turtles,Graptemys_pseudogeographica,TSD,species.in.TreeOfSex,,,,2.0,11.0,,,,,,m24
295,turtles,Graptemys_versa,TSD,species.in.TreeOfSex,,,0.636,2.5,7.0,,,,,55,564
296,snakes,Grayia_smythii,GSD,genus.or.family.in.TreeOfSex,,,0.485,,,,,,,33,68
297,lizards,Hemidactylus_turcicus,GSD,species.in.TreeOfSex,,,0.519,0.8,0.8,0.780,0.780,,,671,1048
299,lizards,Hemidactylus_turcicus,GSD,species.in.TreeOfSex,,,0.510,,,,,,,384,1050
